Paragraph,Labels,Grade
Moving air is called Wind.,Definition,Grade_7_Physics_Data
"Since air is a mixture of gases, wind is the flow of gases on a large scale.
Winds are caused by heating difference between different parts of the world and the movement of the earth.
Winds can be of classified on the basis of:
Duration: Long and Short
Strength: High, medium and low
Speed: Slow and Fast
High strength winds for longer duration, like cyclone or hurricanes, may cause hazardous effects.","Definition, Types, Property, Effects",Grade_7_Physics_Data
"Applications of wind include Windmills (to generate electricity), fan, flying kite, Hair Dryer etc.",Examples,Grade_7_Physics_Data
Atmospheric pressureis the pressure exerted by the weight of air in the atmosphere of Earth (or that of another planet).,Definition,Grade_7_Physics_Data
"All gases in the atmosphere exert pressure on each other, the earth and the objects on earth including humans.
The pressure exerted on a human body by atmosphere is compensated by the pressure exerted by the gases inside human body.
The force or the pressure exerted by air/wind makes loose paper, hair, flags, leaves of trees
Manual tasks like riding bicycle or rowing boat against the wind requires more muscular energy, than normal, due to the opposing pressure exerted by wind.Similarly, If riding and rowing are being done in the direction of wind, then these tasks require less muscular energy than normal.","Effects, Reasoning, Examples",Grade_7_Physics_Data
"Distortion of tin can or bottle
Closed Tin can half filled with boiling water.
The can will have hot water as well as steam.
Now, pouring cold water will make the steam condense and become water.
This reduces air inside the can.
Since the pressure of air inside can becomes lower than air outside, the can’s shape will become distorted.","Reasoning, Causes",Grade_7_Physics_Data
"Sucking a straw decreases pressure inside it, this makes the outside atmospheric pressure become higher and the fluid thus goes up through the straw.
Tyre tube bursts when over filled with air due to the fact that the pressure inside the tube becomes higher than the outer atmospheric pressure","Effects, Reasoning",Grade_7_Physics_Data
"As the pressure of an area reduces, wind speed increases and vice versa. Higher the pressure difference, higher the speed of wind.","Reasoning, Property",Grade_7_Physics_Data
"Thus, the two major concepts are:

High speed winds are accompanied by reduced air pressure.
Air travels from high pressure areas to low pressure areas.",Property,Grade_7_Physics_Data
"Air molecules expand on heating and contract on cooling.
Hot air molecules take more space than cold air molecules.
Warm or Hot air is lighter than cool air.
Warm air, like smoke, rises up and cool air settles down.
When warm air rises up, it creates low pressure in the area, so surrounding cooler air, from relatively higher pressure, then comes to take up its place.",Property,Grade_7_Physics_Data
"When a test tube is immersed in hot water, the air inside it expands and tries to take more space. On the other hand, when immersed in cold water, the air inside the tube contracts a little and tries to take up lesser space than normal.",Reasoning,Grade_7_Physics_Data
"Winds or wind currents are generated by two factors:

Uneven heating between Poles and Equator",Reasoning,Grade_7_Physics_Data
"Centre of the earth is called Equator and the two extreme positions are Poles.
Poles are cooler than equator as highest intensity of the sun’s heat and light falls on the equator and it reduces as we go either side of equator towards the poles.
Cooler air from surrounding areas of the equator comes towards the equator to fill the place of warm air which rises up due to sun’s heating.
Similarly, cooler air from poles comes towards the surrounding areas as the surrounding areas have air warmer than the poles.
These winds from north to equator and south to equator are not straight as their direction change due to earth’s rotation on its axis.","Reasoning, Causes, Effects",Grade_7_Physics_Data
"Summer and Winter Winds
During summer season, winds blow from sea towards land on a large scale.
These winds carry water droplets with them and form clouds.
During monsoon season, these clouds rain as they become heavier.
Rain is useful for farmers for irrigation but excessive rain causes floods and diseases.
During winter season, the winds blow from land to sea and they do not carry any water droplets with them. Hence, Monsoon season occurs only after summer season.","Reasoning, Causes, Effects",Grade_7_Physics_Data
A storm is a disturbed state of environment creating severe weather conditions mainly high speed winds. A thunderstorm is a storm with sound and lightning and typically also heavy rain or hail.,Property,Grade_7_Physics_Data
"Thunderstorms develop in hot and humid areas.
High temperature in this areas cause hot humid (with water vapours) air to rise up. So, strong upward rising winds with water droplets are generated.
At high altitude, these water drops freeze and fall again towards earth.
Upward movement of air and downward movement of water drops, together, cause lightning and sound.","Reasoning, Causes",Grade_7_Physics_Data
A Cyclone is a large scale air mass that rotates around strong centers of low pressure,Definition,Grade_7_Physics_Data
"Water vapors are formed when water is heated.
This heat is released to atmosphere when water vapors convert to water during rains.
The heat released, warms the air around and makes it to move up. This also results in decreased air pressure.
Hence, cooler air from surrounding rushes to take the warm air’s place.
This repeats till a low pressure system with surrounding high speed winds is created. This is called a Cyclone.
Cyclone depends on wind speed, direction, temperature and humidity.
Cyclones are also called Hurricane in USA and Typhoon in Japan and Philippines","Causes, Examples, Effects",Grade_7_Physics_Data
"East coastline of India (Mainly Orissa) is prone to Cyclones being a coastal area.
Cyclone hit areas result in loss of life, property, communication and transportation systems.
Cyclones cause a wall of water to move from sea towards shores resulting in destruction.
Cyclones also bring heavy rainfalls which could lead to flood situations.
Damages agricultural land and reduces soil fertility.",Effects,Grade_7_Physics_Data
"A tornadois a violently rotating dark funnel shaped cloud that reached from sky towards ground.

Diameter of a tornado ranges from few meters to a km.
It grows bigger by taking dust and anything else near it. Smaller tornadoes can only make dust rotate with itself whereas a bigger tornado can take vehicles or even houses.
It sucks everything from bottom and throws them out from the top.
Tornadoes can attain a speed of 300km/hr.
They can form within cyclones.",Property,Grade_7_Physics_Data
"An anemometer is a device used for measuring wind speed.

It consists of cup like structures to measure wind speed based on their movement.
It can also show the direction of the wind.",Property,Grade_7_Physics_Data
"Safety Measures and Precautions
In case of a Cyclone or a Tornado, following are the safety measures to be taken on behalf of government and people:
Government should forecast cyclones 24 hours in advance with the help of satellites and radars.
Cyclone and Tornado shelters should be made for people living in cyclone prone areas. These are rooms made underground and away from shores having no windows.
Quick communication to government agencies, fishermen, ports to make necessary arrangements and minimize destruction.
As an individual, when cyclone or a tornado strikes, take shelter under tables, bow down and protect head and neck using arms.
Keep away from water in cyclone-hit areas as the water might be contaminated.
Stay inside houses.
Should not ignore warnings from meteorological department.
Should have all emergency numbers.
Avoid driving on roads full of water as the roads might be damaged or the vehicle may get stuck with water going inside the machinery.
Cyclone/Tornado can cause damage to electric poles and it may cause short circuit and electric shocks.
Cooperate and help others.",Reasoning,Grade_7_Physics_Data
White light consists of seven colors. The path in which light travels is a straight line. A smooth or shinning surface that forms images by reflection of light is called a mirror.,"Definiton, Property",Grade_7_Physics_Data
"Types of images formed with mirrors –

Real image – Images that can be obtained on the screen are called real images. The image formation is in inverted form and occurs due to converging Lens.
Virtual image – Images that cannot be obtained on the screen are called virtual images. The image formation is upright and occurs due to diverging Lens.","Types, Definition",Grade_7_Physics_Data
Plane mirrors form erect images,Property,Grade_7_Physics_Data
The size is the same as that of the object and is virtual. Whenever an image is formed by a mirror the right side of the object appears to be on the left side in the image whereas the left side of the object is seen on the right side of the image.,Property,Grade_7_Physics_Data
"Concave mirror – Forms inverted and real image. Whenever an object is placed close to the mirror, the image that will be formed is erect, magnified, and virtual.",Property,Grade_7_Physics_Data
"Convex mirror – The image formed by a convex mirror is virtual, smaller in size, and erect.",Property,Grade_7_Physics_Data
"Convex lens – It forms inverted and real images. Whenever an object is placed close to the lens, the image which is formed is, magnified, virtual, and erect. To see objects in big size or in a magnified form this lens is called magnifying glass.",Property,Grade_7_Physics_Data
"Concave lens – The images formed by the concave lens are always virtual, erect, and smaller than the object.
",Property,Grade_7_Physics_Data
"SPEED
Speed of an object determines how fast or slow the object is moving. Speed is total distance divided by time taken to cover the 
distance.","Definition, Property",Grade_7_Physics_Data
Speed= Total Distance / Time,Formula,Grade_7_Physics_Data
"We use devices like clocks to measure time. Clocks work on a simple concept of periodic motion. Simple pendulum is the most common object to exhibit periodic motion.
","Property, Examples",Grade_7_Physics_Data
"Simple pendulum
A simple pendulum consists of a small metallic ball (called a bob) suspended by a thread.
The pendulum has an oscillatory motion. The time taken by the pendulum to complete one oscillation is called its time period. The time period of the pendulum increases with an increase in the length of the string from which it is suspended.","Definition, Property",Grade_7_Physics_Data
"DISTANCE-TIME GRAPHS
A graph between the distance travelled by an object and the time is called a distance- time graph.
For an object travelling with uniform speed, the distance-time graph is a straight line.","Definition, Property",Grade_7_Physics_Data
"What is light?
Light is a radiation or a form of energy that our eyes can detect. Light enables us to view our surroundings. Light travels from one place to another in a straight line",Definition,Grade_7_Physics_Data
