Paragraph,Labels
Paragraph ,Ans Types
"Force: A push or pull on an object is called force.

At least two objects need to interact for force to come into play. Mutual interaction between two objects results in a force between the two objects.
When two forces are applied on an object in the same direction, there is an add-on effect of both forces.
When two forces are applied in opposite directions, the difference between two forces gives the value of the net force.
Force is expressed in terms of its magnitude and the direction in which it is working. Any change in direction or magnitude of the force, there is a change in effect of the force.
Generally, more than one force is acting on an object at any given time.","Definition, Effects, Causes, Property"
"A force can change the state of motion. Both rest and motion are called states of motion. When an object is at rest, its speed is zero.","Definition, Effects"
Effect of force on an object at rest: A force can move an object at rest. For example; if a force is applied on a book the book can move in the direction of force.,"Effects, Examples"
"Effect of force on a moving object: A force can have following effects on a moving object.

When the applied force is in the same direction as direction of motion, there is an increase in the speed of object.
When the applied force is in opposite direction of motion, there is a decrease in the speed of object. The object may also come to rest when the applied force is in opposite direction to the direction of motion.
When the applied force is at some acute or obtuse angle to the direction of motion, there is a change in the direction of motion.","Effects, Examples"
"Effect of Force on Shape: Force can change the shape of an object. When force is applied on a ball of dough, there is a change in the shape of dough. Similarly, a potter changes a lump of clay into pots by applying force. When air is filled in a balloon; the shape of the balloon changes because of the applied force.","Effects, Examples"
"There are two main types of forces, viz. contact force and non-contact force.",Types
"Contact Force: Contact force is a force which can produce its effect only by making a contact with object. Following are the contact forces:
",Definition
Muscular Force: It is the force applied by muscles of humans or animals. A bullock is able to pull a cart because of muscular force. The bullock needs to be harnessed to the cart for applying the force.,"Definition, Examples"
"Friction: When one surface is moving over another surface, a force comes into play and opposes their relative motion. This force is called friction or force of friction. Friction always opposes motion because it acts in opposite direction to motion. Force of friction arises due to contact between two surfaces. If there is no contact between two surfaces there would be no friction.","Definition, Property, Causes"
Non-contact Force: The non-contact force is a force which can produce its effect without making a contact with object. Following are the non-contact forces:,"Definition,"
Magnetic Force: The force applied by a magnet is called magnetic force. A magnet can exert its force on an object even from a distance and does not need to touch that object.,"Definition, Property"
"Electrostatic Force: It is the force applied by a charged body on another charged or non-charged body. When you brush a comb in your hairs and then bring the comb near small bits of paper, the comb attracts the bits of paper. This happens because of electrostatic force.","Definition, Examples"
Gravitational Force: Every object in the universe exerts a force on another object. This force is called gravitational force. It is the gravitational force of various celestial bodies which keeps them in their position in the space.,"Definition, Examples, Property"
"Pressure is the force acting on a unit area on an object.

Pressure = Force/Area on which it acts

In this equation, force is the numerator and area is the denominator. This means that pressure is directly proportional to the applied force but inversely proportional to the area on which it is acting.","Definition, Formula, Relation"
